caseid,educ,satjob
1272,11,Very Satisfied
1273,14,Very Satisfied
1274,11,Very Satisfied
1275,15,Very Dissatisfied
1276,12,NA
1277,13,NA
1278,14,NA
1279,14,Very Satisfied
1280,13,Very Satisfied
1281,10,NA
1282,15,Very Satisfied
1283,12,NA
1284,7,Very Satisfied
1285,7,Mod. Satisfied
1286,15,Very Satisfied
1287,12,NA
1288,12,Mod. Satisfied
1289,8,Mod. Satisfied
1290,16,NA
1291,14,Very Satisfied
1292,13,NA
1293,13,NA
1294,12,Mod. Satisfied
1295,14,A Little Dissat
1296,NA,Very Satisfied
1297,14,Mod. Satisfied
1298,12,NA
1299,11,NA
1300,12,NA
1301,13,NA
1302,16,Very Satisfied
1303,12,NA
1304,12,NA
1305,12,NA
1306,14,Very Satisfied
1307,16,Mod. Satisfied
1308,14,Very Satisfied
1309,8,NA
1310,12,A Little Dissat
1311,12,NA
1312,12,NA
1313,10,Very Satisfied
1314,12,NA
1315,10,NA
